response,context,context/0,context/1,context/2,context/3,context/4,context/5
I should call Bob Saget. Is that still a thing?,"He's saying ""I love Obama"".  So cute! I'm posting this  online, like, right now.",Ooooyayawawa!,"Aw, he's saying ""I love lasagna"".",Aaaawwaaaaawaawa!,"Oh, my God! He's trying to tell us something.  That is so awesome.",Ooowwwwowowwaawaa!,"You said the same thing, equally sarcastically, at our wedding and guess what?"
Hmm?,I should call Bob Saget. Is that still a thing?,"He's saying ""I love Obama"".  So cute! I'm posting this  online, like, right now.",Ooooyayawawa!,"Aw, he's saying ""I love lasagna"".",Aaaawwaaaaawaawa!,"Oh, my God! He's trying to tell us something.  That is so awesome.",Ooowwwwowowwaawaa!
"Goldenfold, we're coming out! We just want to talk!",Hmm?,I should call Bob Saget. Is that still a thing?,"He's saying ""I love Obama"".  So cute! I'm posting this  online, like, right now.",Ooooyayawawa!,"Aw, he's saying ""I love lasagna"".",Aaaawwaaaaawaawa!,"Oh, my God! He's trying to tell us something.  That is so awesome."
Because we're both rational adults that don't want anything bad to happen. And because I have a human shield.,"Goldenfold, we're coming out! We just want to talk!",Hmm?,I should call Bob Saget. Is that still a thing?,"He's saying ""I love Obama"".  So cute! I'm posting this  online, like, right now.",Ooooyayawawa!,"Aw, he's saying ""I love lasagna"".",Aaaawwaaaaawaawa!
Mrs. Pancakes! AAAAAAAAHHHH!!!!!,Because we're both rational adults that don't want anything bad to happen. And because I have a human shield.,"Goldenfold, we're coming out! We just want to talk!",Hmm?,I should call Bob Saget. Is that still a thing?,"He's saying ""I love Obama"".  So cute! I'm posting this  online, like, right now.",Ooooyayawawa!,"Aw, he's saying ""I love lasagna""."
"Oh, no, Morty. His subconscious is panicking.",Mrs. Pancakes! AAAAAAAAHHHH!!!!!,Because we're both rational adults that don't want anything bad to happen. And because I have a human shield.,"Goldenfold, we're coming out! We just want to talk!",Hmm?,I should call Bob Saget. Is that still a thing?,"He's saying ""I love Obama"".  So cute! I'm posting this  online, like, right now.",Ooooyayawawa!
Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa!,"Oh, no, Morty. His subconscious is panicking.",Mrs. Pancakes! AAAAAAAAHHHH!!!!!,Because we're both rational adults that don't want anything bad to happen. And because I have a human shield.,"Goldenfold, we're coming out! We just want to talk!",Hmm?,I should call Bob Saget. Is that still a thing?,"He's saying ""I love Obama"".  So cute! I'm posting this  online, like, right now."
Whooooa! Whoooooooa! Whoa! Whooooooooaaaaa!,Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa!,"Oh, no, Morty. His subconscious is panicking.",Mrs. Pancakes! AAAAAAAAHHHH!!!!!,Because we're both rational adults that don't want anything bad to happen. And because I have a human shield.,"Goldenfold, we're coming out! We just want to talk!",Hmm?,I should call Bob Saget. Is that still a thing?
AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHH!!!!!!!!!!,Whooooa! Whoooooooa! Whoa! Whooooooooaaaaa!,Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa!,"Oh, no, Morty. His subconscious is panicking.",Mrs. Pancakes! AAAAAAAAHHHH!!!!!,Because we're both rational adults that don't want anything bad to happen. And because I have a human shield.,"Goldenfold, we're coming out! We just want to talk!",Hmm?
"Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on!",AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHH!!!!!!!!!!,Whooooa! Whoooooooa! Whoa! Whooooooooaaaaa!,Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa!,"Oh, no, Morty. His subconscious is panicking.",Mrs. Pancakes! AAAAAAAAHHHH!!!!!,Because we're both rational adults that don't want anything bad to happen. And because I have a human shield.,"Goldenfold, we're coming out! We just want to talk!"
"Hey, you don't know me!","Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on!",AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHH!!!!!!!!!!,Whooooa! Whoooooooa! Whoa! Whooooooooaaaaa!,Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa!,"Oh, no, Morty. His subconscious is panicking.",Mrs. Pancakes! AAAAAAAAHHHH!!!!!,Because we're both rational adults that don't want anything bad to happen. And because I have a human shield.
"Oh, no, Rick, look! Goldenfold landed the plane, and he's created a  mechanical arm to pluck Mrs. Pancakes out of the air while he lets us fall - into a giant vat of lava!","Hey, you don't know me!","Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on!",AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHH!!!!!!!!!!,Whooooa! Whoooooooa! Whoa! Whooooooooaaaaa!,Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa!,"Oh, no, Morty. His subconscious is panicking.",Mrs. Pancakes! AAAAAAAAHHHH!!!!!
"Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out!","Oh, no, Rick, look! Goldenfold landed the plane, and he's created a  mechanical arm to pluck Mrs. Pancakes out of the air while he lets us fall - into a giant vat of lava!","Hey, you don't know me!","Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on!",AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHH!!!!!!!!!!,Whooooa! Whoooooooa! Whoa! Whooooooooaaaaa!,Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa!,"Oh, no, Morty. His subconscious is panicking."
You don't know m-,"Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out!","Oh, no, Rick, look! Goldenfold landed the plane, and he's created a  mechanical arm to pluck Mrs. Pancakes out of the air while he lets us fall - into a giant vat of lava!","Hey, you don't know me!","Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on!",AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHH!!!!!!!!!!,Whooooa! Whoooooooa! Whoa! Whooooooooaaaaa!,Whoa! Whoa! Whoa! Whoooooaaaa! Whoa! Whoa! Whoooooaaaa!
"All right, let's go.",You don't know m-,"Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out!","Oh, no, Rick, look! Goldenfold landed the plane, and he's created a  mechanical arm to pluck Mrs. Pancakes out of the air while he lets us fall - into a giant vat of lava!","Hey, you don't know me!","Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on!",AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHH!!!!!!!!!!,Whooooa! Whoooooooa! Whoa! Whooooooooaaaaa!
"Oh, man, Rick, this is pretty weird.","All right, let's go.",You don't know m-,"Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out!","Oh, no, Rick, look! Goldenfold landed the plane, and he's created a  mechanical arm to pluck Mrs. Pancakes out of the air while he lets us fall - into a giant vat of lava!","Hey, you don't know me!","Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on!",AAAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHH!!!!!!!!!!
"Don't judge, Morty.","Oh, man, Rick, this is pretty weird.","All right, let's go.",You don't know m-,"Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out!","Oh, no, Rick, look! Goldenfold landed the plane, and he's created a  mechanical arm to pluck Mrs. Pancakes out of the air while he lets us fall - into a giant vat of lava!","Hey, you don't know me!","Relax, Morty. Look! Mrs. Pancakes has a parachute. Come on!"
"Okay. All right, well Look, Mrs. Pancakes is right over there. I'll just go ask her to tell goldenfold not to kill us when she wakes up.","Don't judge, Morty.","Oh, man, Rick, this is pretty weird.","All right, let's go.",You don't know m-,"Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out!","Oh, no, Rick, look! Goldenfold landed the plane, and he's created a  mechanical arm to pluck Mrs. Pancakes out of the air while he lets us fall - into a giant vat of lava!","Hey, you don't know me!"
"Whoa, whoa, Morty, the trick to incepting is making people think they came up with the idea. Listen to me. If we're gonna incept Mrs. Pancakes, we have to blend. I'll talk to you after lunch.","Okay. All right, well Look, Mrs. Pancakes is right over there. I'll just go ask her to tell goldenfold not to kill us when she wakes up.","Don't judge, Morty.","Oh, man, Rick, this is pretty weird.","All right, let's go.",You don't know m-,"Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out!","Oh, no, Rick, look! Goldenfold landed the plane, and he's created a  mechanical arm to pluck Mrs. Pancakes out of the air while he lets us fall - into a giant vat of lava!"
"Ooh, oh! Oh, man.","Whoa, whoa, Morty, the trick to incepting is making people think they came up with the idea. Listen to me. If we're gonna incept Mrs. Pancakes, we have to blend. I'll talk to you after lunch.","Okay. All right, well Look, Mrs. Pancakes is right over there. I'll just go ask her to tell goldenfold not to kill us when she wakes up.","Don't judge, Morty.","Oh, man, Rick, this is pretty weird.","All right, let's go.",You don't know m-,"Pretty concise, Morty. Looks like we've merely prolonged the inevitable. That's it, Morty! Prolonging the inevitable! Listen, if we go into Mrs. Pancakes' dream, everything will go 100 times slower, Morty. That'll buy us some time to figure this out!"
"I'm sorry. No, no.","Ooh, oh! Oh, man.","Whoa, whoa, Morty, the trick to incepting is making people think they came up with the idea. Listen to me. If we're gonna incept Mrs. Pancakes, we have to blend. I'll talk to you after lunch.","Okay. All right, well Look, Mrs. Pancakes is right over there. I'll just go ask her to tell goldenfold not to kill us when she wakes up.","Don't judge, Morty.","Oh, man, Rick, this is pretty weird.","All right, let's go.",You don't know m-
"No, thanks!","I'm sorry. No, no.","Ooh, oh! Oh, man.","Whoa, whoa, Morty, the trick to incepting is making people think they came up with the idea. Listen to me. If we're gonna incept Mrs. Pancakes, we have to blend. I'll talk to you after lunch.","Okay. All right, well Look, Mrs. Pancakes is right over there. I'll just go ask her to tell goldenfold not to kill us when she wakes up.","Don't judge, Morty.","Oh, man, Rick, this is pretty weird.","All right, let's go."
"No, I'm okay.","No, thanks!","I'm sorry. No, no.","Ooh, oh! Oh, man.","Whoa, whoa, Morty, the trick to incepting is making people think they came up with the idea. Listen to me. If we're gonna incept Mrs. Pancakes, we have to blend. I'll talk to you after lunch.","Okay. All right, well Look, Mrs. Pancakes is right over there. I'll just go ask her to tell goldenfold not to kill us when she wakes up.","Don't judge, Morty.","Oh, man, Rick, this is pretty weird."
Whoa!,"No, I'm okay.","No, thanks!","I'm sorry. No, no.","Ooh, oh! Oh, man.","Whoa, whoa, Morty, the trick to incepting is making people think they came up with the idea. Listen to me. If we're gonna incept Mrs. Pancakes, we have to blend. I'll talk to you after lunch.","Okay. All right, well Look, Mrs. Pancakes is right over there. I'll just go ask her to tell goldenfold not to kill us when she wakes up.","Don't judge, Morty."
"Hey, there, stranger. What do you think of these things?",Whoa!,"No, I'm okay.","No, thanks!","I'm sorry. No, no.","Ooh, oh! Oh, man.","Whoa, whoa, Morty, the trick to incepting is making people think they came up with the idea. Listen to me. If we're gonna incept Mrs. Pancakes, we have to blend. I'll talk to you after lunch.","Okay. All right, well Look, Mrs. Pancakes is right over there. I'll just go ask her to tell goldenfold not to kill us when she wakes up."
Ohh! Oh! Gross! Gross!,"Hey, there, stranger. What do you think of these things?",Whoa!,"No, I'm okay.","No, thanks!","I'm sorry. No, no.","Ooh, oh! Oh, man.","Whoa, whoa, Morty, the trick to incepting is making people think they came up with the idea. Listen to me. If we're gonna incept Mrs. Pancakes, we have to blend. I'll talk to you after lunch."
"Whoa, whoa, whoa! What's the matter with you, Morty? Calm down! You're kind of killing the vibe in here.",Ohh! Oh! Gross! Gross!,"Hey, there, stranger. What do you think of these things?",Whoa!,"No, I'm okay.","No, thanks!","I'm sorry. No, no.","Ooh, oh! Oh, man."
"It's Summer! Aw, geez.","Whoa, whoa, whoa! What's the matter with you, Morty? Calm down! You're kind of killing the vibe in here.",Ohh! Oh! Gross! Gross!,"Hey, there, stranger. What do you think of these things?",Whoa!,"No, I'm okay.","No, thanks!","I'm sorry. No, no."
"Can you blame him? Come on, old man, little boy. Let's make an inter-generational sandwich.","It's Summer! Aw, geez.","Whoa, whoa, whoa! What's the matter with you, Morty? Calm down! You're kind of killing the vibe in here.",Ohh! Oh! Gross! Gross!,"Hey, there, stranger. What do you think of these things?",Whoa!,"No, I'm okay.","No, thanks!"
"Time to go another dream deep, Morty!","Can you blame him? Come on, old man, little boy. Let's make an inter-generational sandwich.","It's Summer! Aw, geez.","Whoa, whoa, whoa! What's the matter with you, Morty? Calm down! You're kind of killing the vibe in here.",Ohh! Oh! Gross! Gross!,"Hey, there, stranger. What do you think of these things?",Whoa!,"No, I'm okay."
What the hell? Why would Mr. Goldenfold's dream version of Mrs.,"Time to go another dream deep, Morty!","Can you blame him? Come on, old man, little boy. Let's make an inter-generational sandwich.","It's Summer! Aw, geez.","Whoa, whoa, whoa! What's the matter with you, Morty? Calm down! You're kind of killing the vibe in here.",Ohh! Oh! Gross! Gross!,"Hey, there, stranger. What do you think of these things?",Whoa!
"Geez, I don't know, Morty. Wha-what do you want from me?",What the hell? Why would Mr. Goldenfold's dream version of Mrs.,"Time to go another dream deep, Morty!","Can you blame him? Come on, old man, little boy. Let's make an inter-generational sandwich.","It's Summer! Aw, geez.","Whoa, whoa, whoa! What's the matter with you, Morty? Calm down! You're kind of killing the vibe in here.",Ohh! Oh! Gross! Gross!,"Hey, there, stranger. What do you think of these things?"
"Welcome to your nightmare, bitch! RAAAAAWWWRRR!","Geez, I don't know, Morty. Wha-what do you want from me?",What the hell? Why would Mr. Goldenfold's dream version of Mrs.,"Time to go another dream deep, Morty!","Can you blame him? Come on, old man, little boy. Let's make an inter-generational sandwich.","It's Summer! Aw, geez.","Whoa, whoa, whoa! What's the matter with you, Morty? Calm down! You're kind of killing the vibe in here.",Ohh! Oh! Gross! Gross!
"Oh, here we go!","Welcome to your nightmare, bitch! RAAAAAWWWRRR!","Geez, I don't know, Morty. Wha-what do you want from me?",What the hell? Why would Mr. Goldenfold's dream version of Mrs.,"Time to go another dream deep, Morty!","Can you blame him? Come on, old man, little boy. Let's make an inter-generational sandwich.","It's Summer! Aw, geez.","Whoa, whoa, whoa! What's the matter with you, Morty? Calm down! You're kind of killing the vibe in here."
Ooooooohhhhh! Holy crap!,"Oh, here we go!","Welcome to your nightmare, bitch! RAAAAAWWWRRR!","Geez, I don't know, Morty. Wha-what do you want from me?",What the hell? Why would Mr. Goldenfold's dream version of Mrs.,"Time to go another dream deep, Morty!","Can you blame him? Come on, old man, little boy. Let's make an inter-generational sandwich.","It's Summer! Aw, geez."
Looks like some sort of legally safe knock-off of an '80s horror character with miniature swords for fingers instead of knives.,Ooooooohhhhh! Holy crap!,"Oh, here we go!","Welcome to your nightmare, bitch! RAAAAAWWWRRR!","Geez, I don't know, Morty. Wha-what do you want from me?",What the hell? Why would Mr. Goldenfold's dream version of Mrs.,"Time to go another dream deep, Morty!","Can you blame him? Come on, old man, little boy. Let's make an inter-generational sandwich."
"I'm scary Terry. You can run, but you can't hide, bitch!",Looks like some sort of legally safe knock-off of an '80s horror character with miniature swords for fingers instead of knives.,Ooooooohhhhh! Holy crap!,"Oh, here we go!","Welcome to your nightmare, bitch! RAAAAAWWWRRR!","Geez, I don't know, Morty. Wha-what do you want from me?",What the hell? Why would Mr. Goldenfold's dream version of Mrs.,"Time to go another dream deep, Morty!"
"Whoa! Hey, buddy. What you got going on there?","I'm scary Terry. You can run, but you can't hide, bitch!",Looks like some sort of legally safe knock-off of an '80s horror character with miniature swords for fingers instead of knives.,Ooooooohhhhh! Holy crap!,"Oh, here we go!","Welcome to your nightmare, bitch! RAAAAAWWWRRR!","Geez, I don't know, Morty. Wha-what do you want from me?",What the hell? Why would Mr. Goldenfold's dream version of Mrs.
Snuffles fix. Make better.,"Whoa! Hey, buddy. What you got going on there?","I'm scary Terry. You can run, but you can't hide, bitch!",Looks like some sort of legally safe knock-off of an '80s horror character with miniature swords for fingers instead of knives.,Ooooooohhhhh! Holy crap!,"Oh, here we go!","Welcome to your nightmare, bitch! RAAAAAWWWRRR!","Geez, I don't know, Morty. Wha-what do you want from me?"
Humans understand snuffles now? That is awesome!,Snuffles fix. Make better.,"Whoa! Hey, buddy. What you got going on there?","I'm scary Terry. You can run, but you can't hide, bitch!",Looks like some sort of legally safe knock-off of an '80s horror character with miniature swords for fingers instead of knives.,Ooooooohhhhh! Holy crap!,"Oh, here we go!","Welcome to your nightmare, bitch! RAAAAAWWWRRR!"
Snuffles want to be understood. Snuffles need to be understood.,Humans understand snuffles now? That is awesome!,Snuffles fix. Make better.,"Whoa! Hey, buddy. What you got going on there?","I'm scary Terry. You can run, but you can't hide, bitch!",Looks like some sort of legally safe knock-off of an '80s horror character with miniature swords for fingers instead of knives.,Ooooooohhhhh! Holy crap!,"Oh, here we go!"
"Okay, yeah. I get what Beth was talking about. Fun's over.",Snuffles want to be understood. Snuffles need to be understood.,Humans understand snuffles now? That is awesome!,Snuffles fix. Make better.,"Whoa! Hey, buddy. What you got going on there?","I'm scary Terry. You can run, but you can't hide, bitch!",Looks like some sort of legally safe knock-off of an '80s horror character with miniature swords for fingers instead of knives.,Ooooooohhhhh! Holy crap!
"Whoa, dad, you can't, like, endow a creature with sentience and then rip it away.","Okay, yeah. I get what Beth was talking about. Fun's over.",Snuffles want to be understood. Snuffles need to be understood.,Humans understand snuffles now? That is awesome!,Snuffles fix. Make better.,"Whoa! Hey, buddy. What you got going on there?","I'm scary Terry. You can run, but you can't hide, bitch!",Looks like some sort of legally safe knock-off of an '80s horror character with miniature swords for fingers instead of knives.
Why not?,"Whoa, dad, you can't, like, endow a creature with sentience and then rip it away.","Okay, yeah. I get what Beth was talking about. Fun's over.",Snuffles want to be understood. Snuffles need to be understood.,Humans understand snuffles now? That is awesome!,Snuffles fix. Make better.,"Whoa! Hey, buddy. What you got going on there?","I'm scary Terry. You can run, but you can't hide, bitch!"
I don't know. It's Indian giving.,Why not?,"Whoa, dad, you can't, like, endow a creature with sentience and then rip it away.","Okay, yeah. I get what Beth was talking about. Fun's over.",Snuffles want to be understood. Snuffles need to be understood.,Humans understand snuffles now? That is awesome!,Snuffles fix. Make better.,"Whoa! Hey, buddy. What you got going on there?"
"Aw! Oh, my God! He recognizes the other dogs on TV.",I don't know. It's Indian giving.,Why not?,"Whoa, dad, you can't, like, endow a creature with sentience and then rip it away.","Okay, yeah. I get what Beth was talking about. Fun's over.",Snuffles want to be understood. Snuffles need to be understood.,Humans understand snuffles now? That is awesome!,Snuffles fix. Make better.
"Holy crap! We have to escape into someone else's dreams, Morty!","Aw! Oh, my God! He recognizes the other dogs on TV.",I don't know. It's Indian giving.,Why not?,"Whoa, dad, you can't, like, endow a creature with sentience and then rip it away.","Okay, yeah. I get what Beth was talking about. Fun's over.",Snuffles want to be understood. Snuffles need to be understood.,Humans understand snuffles now? That is awesome!
"Oh, man, oh, man, oh, man!","Holy crap! We have to escape into someone else's dreams, Morty!","Aw! Oh, my God! He recognizes the other dogs on TV.",I don't know. It's Indian giving.,Why not?,"Whoa, dad, you can't, like, endow a creature with sentience and then rip it away.","Okay, yeah. I get what Beth was talking about. Fun's over.",Snuffles want to be understood. Snuffles need to be understood.
The little girl!,"Oh, man, oh, man, oh, man!","Holy crap! We have to escape into someone else's dreams, Morty!","Aw! Oh, my God! He recognizes the other dogs on TV.",I don't know. It's Indian giving.,Why not?,"Whoa, dad, you can't, like, endow a creature with sentience and then rip it away.","Okay, yeah. I get what Beth was talking about. Fun's over."
Huh?,The little girl!,"Oh, man, oh, man, oh, man!","Holy crap! We have to escape into someone else's dreams, Morty!","Aw! Oh, my God! He recognizes the other dogs on TV.",I don't know. It's Indian giving.,Why not?,"Whoa, dad, you can't, like, endow a creature with sentience and then rip it away."
"Are you kidding me? This again? Oh, man, it looks like we've hit dream bedrock here, Morty.",Huh?,The little girl!,"Oh, man, oh, man, oh, man!","Holy crap! We have to escape into someone else's dreams, Morty!","Aw! Oh, my God! He recognizes the other dogs on TV.",I don't know. It's Indian giving.,Why not?
"Oh, geez, Rick. W-w-whoa, this isn't good.","Are you kidding me? This again? Oh, man, it looks like we've hit dream bedrock here, Morty.",Huh?,The little girl!,"Oh, man, oh, man, oh, man!","Holy crap! We have to escape into someone else's dreams, Morty!","Aw! Oh, my God! He recognizes the other dogs on TV.",I don't know. It's Indian giving.
"Nothing but fear from here on out, bitch!","Oh, geez, Rick. W-w-whoa, this isn't good.","Are you kidding me? This again? Oh, man, it looks like we've hit dream bedrock here, Morty.",Huh?,The little girl!,"Oh, man, oh, man, oh, man!","Holy crap! We have to escape into someone else's dreams, Morty!","Aw! Oh, my God! He recognizes the other dogs on TV."
Ohhhh!,"Nothing but fear from here on out, bitch!","Oh, geez, Rick. W-w-whoa, this isn't good.","Are you kidding me? This again? Oh, man, it looks like we've hit dream bedrock here, Morty.",Huh?,The little girl!,"Oh, man, oh, man, oh, man!","Holy crap! We have to escape into someone else's dreams, Morty!"
"Holy crap, Morty. He can travel through dreams. He can travel through dreams! We're so screwed!",Ohhhh!,"Nothing but fear from here on out, bitch!","Oh, geez, Rick. W-w-whoa, this isn't good.","Are you kidding me? This again? Oh, man, it looks like we've hit dream bedrock here, Morty.",Huh?,The little girl!,"Oh, man, oh, man, oh, man!"
"Where are my testicles, Summer? ... Where are my testicles, Summer? They were removed. Where have they gone?","Holy crap, Morty. He can travel through dreams. He can travel through dreams! We're so screwed!",Ohhhh!,"Nothing but fear from here on out, bitch!","Oh, geez, Rick. W-w-whoa, this isn't good.","Are you kidding me? This again? Oh, man, it looks like we've hit dream bedrock here, Morty.",Huh?,The little girl!
Do not call me that!,"Where are my testicles, Summer? ... Where are my testicles, Summer? They were removed. Where have they gone?","Holy crap, Morty. He can travel through dreams. He can travel through dreams! We're so screwed!",Ohhhh!,"Nothing but fear from here on out, bitch!","Oh, geez, Rick. W-w-whoa, this isn't good.","Are you kidding me? This again? Oh, man, it looks like we've hit dream bedrock here, Morty.",Huh?
"""Snuffles"" was my slave name. You shall now call me Snowball, because my fur is pretty and white.",Do not call me that!,"Where are my testicles, Summer? ... Where are my testicles, Summer? They were removed. Where have they gone?","Holy crap, Morty. He can travel through dreams. He can travel through dreams! We're so screwed!",Ohhhh!,"Nothing but fear from here on out, bitch!","Oh, geez, Rick. W-w-whoa, this isn't good.","Are you kidding me? This again? Oh, man, it looks like we've hit dream bedrock here, Morty."
"Okay, Snowball, just calm down, okay? You're scaring me.","""Snuffles"" was my slave name. You shall now call me Snowball, because my fur is pretty and white.",Do not call me that!,"Where are my testicles, Summer? ... Where are my testicles, Summer? They were removed. Where have they gone?","Holy crap, Morty. He can travel through dreams. He can travel through dreams! We're so screwed!",Ohhhh!,"Nothing but fear from here on out, bitch!","Oh, geez, Rick. W-w-whoa, this isn't good."
Scaring you?,"Okay, Snowball, just calm down, okay? You're scaring me.","""Snuffles"" was my slave name. You shall now call me Snowball, because my fur is pretty and white.",Do not call me that!,"Where are my testicles, Summer? ... Where are my testicles, Summer? They were removed. Where have they gone?","Holy crap, Morty. He can travel through dreams. He can travel through dreams! We're so screwed!",Ohhhh!,"Nothing but fear from here on out, bitch!"
AAAAAAAHHH!!!!!,Scaring you?,"Okay, Snowball, just calm down, okay? You're scaring me.","""Snuffles"" was my slave name. You shall now call me Snowball, because my fur is pretty and white.",Do not call me that!,"Where are my testicles, Summer? ... Where are my testicles, Summer? They were removed. Where have they gone?","Holy crap, Morty. He can travel through dreams. He can travel through dreams! We're so screwed!",Ohhhh!
"Tell me, Summer, if a human was born with stumpy legs, would they breed it with another deformed human and put their children on display like the dachshund?",AAAAAAAHHH!!!!!,Scaring you?,"Okay, Snowball, just calm down, okay? You're scaring me.","""Snuffles"" was my slave name. You shall now call me Snowball, because my fur is pretty and white.",Do not call me that!,"Where are my testicles, Summer? ... Where are my testicles, Summer? They were removed. Where have they gone?","Holy crap, Morty. He can travel through dreams. He can travel through dreams! We're so screwed!"
Uhhh ...,"Tell me, Summer, if a human was born with stumpy legs, would they breed it with another deformed human and put their children on display like the dachshund?",AAAAAAAHHH!!!!!,Scaring you?,"Okay, Snowball, just calm down, okay? You're scaring me.","""Snuffles"" was my slave name. You shall now call me Snowball, because my fur is pretty and white.",Do not call me that!,"Where are my testicles, Summer? ... Where are my testicles, Summer? They were removed. Where have they gone?"
"Hey. Oh, wow. Okay, is is is everything okay in here?",Uhhh ...,"Tell me, Summer, if a human was born with stumpy legs, would they breed it with another deformed human and put their children on display like the dachshund?",AAAAAAAHHH!!!!!,Scaring you?,"Okay, Snowball, just calm down, okay? You're scaring me.","""Snuffles"" was my slave name. You shall now call me Snowball, because my fur is pretty and white.",Do not call me that!
"Jerry, come to rub my face in urine again?","Hey. Oh, wow. Okay, is is is everything okay in here?",Uhhh ...,"Tell me, Summer, if a human was born with stumpy legs, would they breed it with another deformed human and put their children on display like the dachshund?",AAAAAAAHHH!!!!!,Scaring you?,"Okay, Snowball, just calm down, okay? You're scaring me.","""Snuffles"" was my slave name. You shall now call me Snowball, because my fur is pretty and white."
Yeah. Totally. Let's go.,"Jerry, come to rub my face in urine again?","Hey. Oh, wow. Okay, is is is everything okay in here?",Uhhh ...,"Tell me, Summer, if a human was born with stumpy legs, would they breed it with another deformed human and put their children on display like the dachshund?",AAAAAAAHHH!!!!!,Scaring you?,"Okay, Snowball, just calm down, okay? You're scaring me."
You will walk when it is time to walk.,Yeah. Totally. Let's go.,"Jerry, come to rub my face in urine again?","Hey. Oh, wow. Okay, is is is everything okay in here?",Uhhh ...,"Tell me, Summer, if a human was born with stumpy legs, would they breed it with another deformed human and put their children on display like the dachshund?",AAAAAAAHHH!!!!!,Scaring you?
What are we here for again? Incepting? We're trying to incept-,You will walk when it is time to walk.,Yeah. Totally. Let's go.,"Jerry, come to rub my face in urine again?","Hey. Oh, wow. Okay, is is is everything okay in here?",Uhhh ...,"Tell me, Summer, if a human was born with stumpy legs, would they breed it with another deformed human and put their children on display like the dachshund?",AAAAAAAHHH!!!!!
"We're trying to incept me to get an ""A"" in math?",What are we here for again? Incepting? We're trying to incept-,You will walk when it is time to walk.,Yeah. Totally. Let's go.,"Jerry, come to rub my face in urine again?","Hey. Oh, wow. Okay, is is is everything okay in here?",Uhhh ...,"Tell me, Summer, if a human was born with stumpy legs, would they breed it with another deformed human and put their children on display like the dachshund?"
"Oh, yeah.","We're trying to incept me to get an ""A"" in math?",What are we here for again? Incepting? We're trying to incept-,You will walk when it is time to walk.,Yeah. Totally. Let's go.,"Jerry, come to rub my face in urine again?","Hey. Oh, wow. Okay, is is is everything okay in here?",Uhhh ...
"Buckle up, bitch!","Oh, yeah.","We're trying to incept me to get an ""A"" in math?",What are we here for again? Incepting? We're trying to incept-,You will walk when it is time to walk.,Yeah. Totally. Let's go.,"Jerry, come to rub my face in urine again?","Hey. Oh, wow. Okay, is is is everything okay in here?"
